County,hw_hour,hw_year
Rich,16.56,34444.8
Piute,15.69,32635.2
Summit,19.87,41329.6
Morgan,16.52,34361.6
Davis,16.52,34361.6
Weber,16.52,34361.6
Grand,15.63,32510.4
Daggett,15.88,33030.4
Beaver,12.5,26000
Wasatch,17.87,37169.6
Washington,15.85,32968
Salt Lake,19.04,39603.2
Kane,15.79,32843.2
Cache,13.1,27248
Iron,12.5,26000
Sanpete,12.5,26000
Utah,15.73,32718.4
Juab,15.73,32718.4
Tooele,15.4,32032
Box Elder,13.17,27393.6
Wayne,12.5,26000
Garfield,12.5,26000
Sevier,12.5,26000
Carbon,12.5,26000
Millard,12.5,26000
Uintah,16.15,33592
San Juan,12.5,26000
Duchesne,14.54,30243.2
Emery,12.5,26000
