District ,Representative ,County
1,"Sandall, Scott D. ",Box Elder
1,"Sandall, Scott D. ",Cache
2,"Moss, Jefferson ",Utah
3,"Potter, Val K. ",Cache
4,"Redd, Edward H. ",Cache
5,"Webb, R. Curt ",Cache
6,"Maloy, A. Cory ",Utah
7,"Fawson, Justin L. ",Weber
8,"Froerer, Gage ",Weber
9,"Peterson, Jeremy A. ",Weber
10,"Pitcher, Dixon M. ",Weber
11,"Miles, Kelly B. ",Davis
11,"Miles, Kelly B. ",Weber
12,"Schultz, Mike ",Davis
12,"Schultz, Mike ",Weber
13,"Ray, Paul ",Davis
14,"Lisonbee, Karianne ",Davis
15,"Wilson, Brad R. ",Davis
16,"Handy, Stephen G. ",Davis
17,"Barlow, Stewart E. ",Davis
18,"Hawkes, Timothy D. ",Davis
19,"Ward, Raymond P. ",Davis
20,"Edwards, Rebecca P. ",Davis
21,"Sagers, Douglas V. ",Tooele
22,"Duckworth, Susan ",Salt Lake
23,"Hollins, Sandra ",Salt Lake
24,"Chavez-Houck, Rebecca ",Salt Lake
25,"Briscoe, Joel K. ",Salt Lake
26,"Romero, Angela ",Salt Lake
27,"Kennedy, Michael S. ",Utah
28,"King, Brian S. ",Salt Lake
28,"King, Brian S. ",Summit
29,"Perry, Lee B. ",Box Elder
29,"Perry, Lee B. ",Weber
30,"Winder, Mike ",Salt Lake
31,"Weight, Elizabeth ",Salt Lake
32,"Christensen, LaVar ",Salt Lake
33,"Hall, Craig ",Salt Lake
34,"Kwan, Karen ",Salt Lake
35,"Wheatley, Mark A. ",Salt Lake
36,"Arent, Patrice M. ",Salt Lake
37,"Moss, Carol Spackman ",Salt Lake
38,"Hutchings, Eric K. ",Salt Lake
39,"Dunnigan, James A. ",Salt Lake
40,"Hemingway, Lynn N. ",Salt Lake
41,"McCay, Daniel ",Salt Lake
42,"Coleman, Kim F. ",Salt Lake
43,"Acton, Cheryl K. ",Salt Lake
44,"Cutler, Bruce R. ",Salt Lake
45,"Eliason, Steve ",Salt Lake
46,"Poulson, Marie H. ",Salt Lake
47,"Ivory, Ken ",Salt Lake
48,"Stratton, Keven J. ",Utah
49,"Spendlove, Robert M. ",Salt Lake
50,"Pulsipher, Susan ",Salt Lake
51,"Hughes, Gregory H. ",Salt Lake
52,"Knotwell, John ",Salt Lake
53,"Wilde, Logan ",Daggett
53,"Wilde, Logan ",Duchesne
53,"Wilde, Logan ",Morgan
53,"Wilde, Logan ",Rich
53,"Wilde, Logan ",Summit
54,"Quinn, Tim ",Summit
54,"Quinn, Tim ",Wasatch
55,"Chew, Scott H. ",Duchesne
55,"Chew, Scott H. ",Uintah
56,"Christofferson, Kay J. ",Utah
57,"Greene, Brian M. ",Utah
58,"Owens, Derrin R. ",Juab
58,"Owens, Derrin R. ",Sanpete
59,"Peterson, Val L. ",Utah
60,"Daw, Brad M. ",Utah
61,"Grover, Keith ",Utah
62,"Stanard, Jon E. ",Washington
63,Empty ,Utah
64,"Thurston, Norman K ",Utah
65,"Gibson, Francis D. ",Utah
66,"McKell, Michael K. ",Utah
67,"Roberts, Marc K. ",Utah
68,"Nelson, Merrill F. ",Beaver
68,"Nelson, Merrill F. ",Juab
68,"Nelson, Merrill F. ",Millard
68,"Nelson, Merrill F. ",Tooele
68,"Nelson, Merrill F. ",Utah
69,"Watkins, Christine F ",Carbon
69,"Watkins, Christine F ",Duchesne
69,"Watkins, Christine F ",Emery
69,"Watkins, Christine F ",Grand
70,"Albrecht, Carl R. ",Emery
70,"Albrecht, Carl R. ",Grand
70,"Albrecht, Carl R. ",Sanpete
70,"Albrecht, Carl R. ",Sevier
71,"Last, Bradley G. ",Iron
71,"Last, Bradley G. ",Washington
72,"Westwood, John R. ",Iron
73,"Noel, Michael E. ",Beaver
73,"Noel, Michael E. ",Garfield
73,"Noel, Michael E. ",Kane
73,"Noel, Michael E. ",Piute
73,"Noel, Michael E. ",San Juan
73,"Noel, Michael E. ",Sevier
73,"Noel, Michael E. ",Wayne
74,"Snow, V. Lowry ",Washington
75,"Brooks, Walt ",Washington
